,gene,best_fit
2867,Kif1b.1,other
2874,Kif2a,other
2878,Kif3b,other
2885,Kifap3.1,other
2886,Kifap3.2,other
2897,Klhl23,other
2898,Klhl32,other
2899,Klhl5,other
2906,Klk7,other
2907,Klkb1,other
2908,Klra19,other
2910,Klrk1,other
2914,Kpna2,other
2916,Krr1,other
2923,Ktelc1,other
2924,Ktn1,other
2925,Ky.1,other
2930,LOC225594,other
2932,LOC382133,other
2934,LOC435023,other
2935,LOC435565,other
2936,LOC436177,other
2937,LOC544988.1,other
2940,LOC547343,other
2942,LOC622665,other
2944,LOC654842,other
2947,Lamb2,other
2956,Las1l,other
2960,Lass6.1,other
2961,Lat2,other
2966,Lca5.2,other
2967,Lcmt1.1,other
2968,Lcmt1.2,other
2969,Lcn12,other
2975,Ldhd.2,other
2978,Leprel2,other
2979,Letm1,other
2980,Letm1.1,other
2981,Letm1.3,other
2982,Lgals3,other
2983,Lgals3bp,other
2986,Lgals6,other
2990,Lhx4,other
2998,Lig3,other
3000,Limd1,other
3004,Liph.1,other
3009,Lman1l.1,other
3012,Lmln,other
3016,Lmtk2,other
3017,Lnpep.1,other
3018,Loh11cr2a,other
3021,Lpar2.1,other
3027,Lrfn3,other
3028,Lrig1,other
3030,Lrmp,other
3035,Lrp6,other
3040,Lrpap1,other
3041,Lrpprc.2,other
3042,Lrrc1,other
3043,Lrrc1.1,other
3052,Lrrc57,other
3056,Lrrc8b.1,other
3057,Lrrc8c,other
3060,Lrrk1.1,other
3061,Lrrk2.2,other
3062,Lrrk2.3,other
3064,Lsg1,other
3065,Lsm1.3,other
3076,Ltbp1.4,other
3077,Ltbp3,other
3080,Ltk,other
3090,Ly6g5b,other
3093,Ly96,other
3094,Lyg1,other
3097,Lyrm1,other
3104,MGC107098,other
3109,Mafa.1,other
3111,Magee1,other
3112,Magi1,other
3114,Mak10,other
3116,Maml3,other
3117,Man1a2,other
3118,Man1a2.1,other
3121,Map1lc3b,other
3124,Map2k7.2,other
3125,Map3k4,other
3129,Mapk11,other
3130,Mapk12,other
3132,Mapk12.2,other
3135,Mapk3,other
3137,Mapk8ip2,other
3145,Mark2,other
3149,Masp2.1,other
3154,Mbd3,other
3155,Mbd4,other
3163,Mbp,other
3164,Mbp.2,other
3165,Mbtps1,other
3191,Mdh1,other
3194,Mdm1,other
3195,Mdm1.1,other
3196,Mdm1.2,other
3203,Med1.1,other
3204,Med10,other
3205,Med11,other
3206,Med11.1,other
3210,Med16,other
3216,Mef2c,other
3219,Meis3,other
3220,Meis3.1,other
3221,Meis3.2,other
3225,Men1,other
3226,Men1.2,other
3235,Mettl7b,other
3236,Mettl9,other
3239,Mfn1,other
3240,Mfng,other
3243,Mgat4b,other
3244,Mgat4b.1,other
3251,Mical3,other
3256,Mier3,other
3257,Mina.1,other
3258,Mink1.2,other
3261,Mkks.2,other
3268,Mllt11.1,other
3269,Mllt3,other
3274,Mmp17,other
3275,Mmp24.1,other
3276,Mms19l,other
3279,Mns1,other
3283,Mon1a.1,other
3284,Mon1b,other
3285,Mon1b.2,other
3288,Mov10,other
3289,Mov10.1,other
3290,Mpg.1,other
3293,Mphosph9.4,other
3294,Mpi,other
3296,Mpst,other
3297,Mpzl3,other
3302,Mrp63,other
3303,Mrpl10,other
3309,Mrpl24,other
3311,Mrpl33,other
3320,Mrpl48.2,other
3325,Mrps16,other
3326,Mrps18b,other
3328,Mrps23,other
3330,Mrps26.1,other
3331,Mrps33.1,other
3336,Ms4a6d,other
3337,Msc,other
3338,Msh5,other
3339,Msh5.1,other
3343,Msmb,other
3346,Mt3,other
3348,Mtap,other
3349,Mtap.1,other
3351,Mtap6.2,other
3359,Mtbp.2,other
3361,Mtch2,other
3364,Mterfd2,other
3369,Mtfmt.1,other
3370,Mtfmt.2,other
3371,Mtif2.1,other
3374,Mtl5.1,other
3376,Mtmr12,other
3377,Mtmr14.1,other
3378,Mtmr14.2,other
3379,Mtmr14.3,other
3385,Mtr,other
3386,Mtrf1,other
3387,Mtrf1.1,other
3389,Muc1,other
3390,Muc1.3,other
3393,Muted.2,other
3394,Mutyh,other
3404,Myd116,other
3405,Myd88,other
3408,Myh11,other
3414,Myo1f,other
3417,Myom1,other
3418,Myom1.1,other
3420,Myst1,other
